epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1481.4,0.34395,0.18603,0.84375,0.99935,1,0.995,0.94556,0.35827,0.16379,0.84169,0.000738414,0.000738414,0.000738414
83,1499.38,0.34296,0.18947,0.84371,0.99918,1,0.995,0.93672,0.35562,0.1638,0.83517,0.000721292,0.000721292,0.000721292
84,1517.43,0.34872,0.19331,0.83978,0.99905,1,0.995,0.92219,0.40815,0.17755,0.85933,0.000704223,0.000704223,0.000704223
85,1535.24,0.32987,0.18897,0.83226,0.99904,1,0.995,0.91467,0.4238,0.17435,0.86618,0.000687214,0.000687214,0.000687214
86,1552.84,0.32801,0.18121,0.83667,0.99897,1,0.995,0.9199,0.40807,0.1827,0.86969,0.000670274,0.000670274,0.000670274
87,1570.62,0.33922,0.18916,0.84096,0.99924,1,0.995,0.9234,0.40162,0.17658,0.85887,0.000653408,0.000653408,0.000653408
88,1588.51,0.33323,0.18582,0.84623,0.99932,1,0.995,0.93548,0.36772,0.16908,0.85056,0.000636625,0.000636625,0.000636625
89,1606.28,0.32617,0.1809,0.83531,0.99882,1,0.995,0.93997,0.35314,0.15971,0.84385,0.000619932,0.000619932,0.000619932
90,1624.62,0.33443,0.1818,0.83757,0.99923,1,0.995,0.93044,0.3864,0.16451,0.84617,0.000603336,0.000603336,0.000603336
91,1642.34,0.33474,0.18247,0.84438,0.9993,1,0.995,0.94499,0.35932,0.17111,0.84318,0.000586845,0.000586845,0.000586845
92,1660.08,0.31978,0.17855,0.83647,0.99926,1,0.995,0.9082,0.45232,0.17851,0.88018,0.000570466,0.000570466,0.000570466
93,1677.97,0.32809,0.1863,0.83666,0.99959,1,0.995,0.94002,0.4023,0.18538,0.85739,0.000554206,0.000554206,0.000554206
94,1695.6,0.33094,0.18519,0.84119,0.99924,1,0.995,0.93863,0.38719,0.17039,0.8618,0.000538072,0.000538072,0.000538072
95,1713.44,0.32496,0.17921,0.8381,0.99921,1,0.995,0.93814,0.39564,0.17317,0.86154,0.000522071,0.000522071,0.000522071
96,1731.88,0.32387,0.17726,0.83553,0.99925,1,0.995,0.92199,0.43501,0.19073,0.88639,0.00050621,0.00050621,0.00050621
97,1749.49,0.32217,0.18233,0.83949,0.9989,1,0.995,0.92605,0.39411,0.1712,0.86824,0.000490497,0.000490497,0.000490497
98,1767.24,0.32216,0.18738,0.83764,0.99931,1,0.995,0.93804,0.40079,0.19649,0.86674,0.000474938,0.000474938,0.000474938
99,1785.13,0.32221,0.18076,0.8327,0.9996,1,0.995,0.93591,0.39779,0.1771,0.87919,0.000459539,0.000459539,0.000459539
100,1802.84,0.3143,0.17502,0.83422,0.99933,1,0.995,0.95261,0.36048,0.1837,0.8564,0.000444309,0.000444309,0.000444309
101,1820.92,0.32774,0.18187,0.84569,0.99934,1,0.995,0.94967,0.34419,0.15809,0.84368,0.000429252,0.000429252,0.000429252
102,1839.04,0.31603,0.17123,0.83074,0.99932,1,0.995,0.94383,0.36364,0.15463,0.83925,0.000414377,0.000414377,0.000414377
